airline,origin,dest,month,day_of_week,hour,distance,delayed
6E,AMD,MAA,10,3,22,947,1
6E,CCU,BOM,12,5,17,1030,1
UK,BLR,GOI,5,0,6,310,1
UK,DEL,MAA,6,6,16,1090,1
IX,GOI,COK,7,3,22,505,0
SG,BLR,GOI,4,3,22,310,0
AS,ATL,DEN,3,2,10,371,0
AI,CCU,DEL,10,4,19,810,1
IX,GOI,CCU,4,5,17,1278,0
6E,HYD,CCU,6,4,10,740,1
IX,BOM,DEL,12,5,6,710,1
SG,COK,DEL,4,3,19,1280,1
6E,CCU,HYD,1,6,17,740,1
UK,BLR,HYD,2,0,10,310,0
AI,CCU,DEL,6,0,10,810,1
WN,SFO,BOS,3,2,15,453,0
UA,MIA,DFW,3,6,13,210,1
DL,SEA,ORD,4,0,5,1298,1
QP,BOM,DEL,9,4,13,710,1
DL,PHX,SEA,1,1,20,1107,0
IX,PNQ,COK,4,1,9,1298,1
F9,ATL,PHX,9,5,7,547,0
UA,SFO,DFW,8,2,19,247,1
UK,AMD,DEL,8,5,20,470,0
QP,GOI,BOM,8,1,7,265,1
AA,ORD,BOS,2,6,9,867,1
AA,SEA,SFO,2,4,21,679,0
DL,DFW,SFO,9,0,13,893,1
F9,DFW,BOS,1,4,7,439,1
SG,CCU,BOM,7,2,18,1030,1
AS,DFW,BOS,12,1,12,1305,1
B6,SFO,DEN,5,6,6,1115,1
F9,ORD,JFK,12,1,8,740,1
F9,DFW,PHX,5,3,20,1066,0
UK,MAA,DEL,8,5,14,1090,0
QP,AMD,COK,11,6,19,778,1
AA,ATL,JFK,12,6,11,760,1
AS,SEA,LAX,5,4,15,954,1
B6,SFO,LAS,6,0,8,414,1
QP,HYD,BOM,4,4,5,390,0
UK,DEL,BOM,10,4,20,710,1
IX,BOM,MAA,1,3,13,640,1
6E,COK,DEL,8,4,13,1280,1
AI,BLR,HYD,4,6,18,310,0
F9,DEN,LAS,1,2,7,1326,1
6E,AMD,GOI,8,2,14,801,1
AI,GOI,DEL,8,3,18,940,1
IX,HYD,BOM,1,5,5,390,0
6E,BLR,GOI,2,2,9,310,0
SG,DEL,HYD,3,1,20,780,0
AS,MIA,LAX,7,5,9,566,1
DL,PHX,ATL,10,2,14,502,0
WN,JFK,BOS,2,2,7,187,0
IX,BOM,GOI,5,3,22,265,1
6E,BOM,HYD,12,0,10,390,1
IX,HYD,CCU,8,1,20,740,0
F9,LAX,JFK,2,5,21,2475,1
IX,HYD,DEL,8,4,5,780,1
QP,BOM,COK,6,2,16,670,1
UA,PHX,DEN,5,3,19,311,1
WN,LAX,ORD,8,2,12,1744,1
AS,LAS,SEA,6,4,22,806,1
UA,PHX,LAS,1,6,13,256,0
UA,PHX,JFK,10,4,8,528,0
QP,HYD,PNQ,11,3,7,1049,1
UA,LAX,DFW,5,2,17,1235,1
UK,DEL,AMD,9,0,16,470,1
IX,GOI,BLR,2,5,21,310,1
NK,ORD,LAS,4,5,7,500,1
UA,MIA,DFW,7,3,17,1111,1
IX,PNQ,BLR,4,5,22,460,1
B6,SFO,ATL,9,6,22,912,1
NK,DEN,BOS,11,3,17,762,1
QP,BLR,MAA,12,6,10,180,0
NK,BOS,PHX,10,0,13,932,1
WN,DEN,SFO,4,3,15,603,1
WN,DEN,PHX,3,2,5,198,0
UA,DFW,ORD,10,4,7,294,0
UK,BOM,GOI,6,2,16,265,0
AS,LAS,ATL,8,5,9,488,0
WN,ORD,MIA,7,1,7,679,1
UA,SEA,BOS,1,6,5,1399,1
QP,PNQ,BOM,4,2,10,90,0
UK,HYD,PNQ,5,2,19,1001,0
QP,COK,HYD,9,5,19,359,0
UK,CCU,GOI,2,2,7,534,1
SG,DEL,BLR,6,5,18,1080,1
AS,LAX,BOS,1,1,6,1226,0
WN,ATL,BOS,6,2,14,1072,1
DL,JFK,SFO,9,3,10,609,1
SG,COK,PNQ,10,0,11,370,1
AA,LAX,MIA,11,0,22,966,1
6E,AMD,COK,12,6,13,390,1
F9,DEN,LAS,1,3,18,838,0
WN,SFO,ATL,12,4,11,757,1
6E,PNQ,BOM,5,3,7,90,1
WN,DEN,ORD,7,4,17,888,1
AI,BOM,CCU,10,4,19,1030,0
6E,AMD,MAA,12,3,6,575,1
6E,PNQ,BLR,3,6,6,460,1
SG,DEL,BOM,8,6,8,710,1
6E,HYD,MAA,4,6,15,320,1
AA,MIA,PHX,10,0,5,294,0
6E,AMD,COK,2,5,17,807,0
6E,DEL,HYD,6,6,6,780,1
SG,COK,AMD,6,3,13,512,1
IX,CCU,AMD,2,4,10,421,1
DL,ATL,SEA,5,4,12,699,0
WN,MIA,LAS,5,5,10,488,0
UK,PNQ,BLR,7,2,10,460,1
SG,HYD,DEL,7,5,22,780,1
WN,MIA,BOS,4,3,19,1258,0
AA,LAS,SEA,8,6,20,640,0
F9,SEA,ATL,12,4,21,853,1
DL,DFW,BOS,3,3,13,156,0
IX,COK,AMD,11,3,6,487,1
DL,JFK,DFW,3,6,6,1391,0
IX,GOI,CCU,11,4,11,296,0
AI,BLR,CCU,12,5,15,970,1
AI,BOM,HYD,11,5,8,390,1
IX,GOI,PNQ,1,6,14,230,1
B6,ORD,SEA,2,2,19,923,1
IX,COK,MAA,6,0,15,340,1
6E,COK,MAA,5,1,19,340,0
SG,CCU,COK,11,4,11,686,1
6E,MAA,HYD,6,6,16,320,1
AI,COK,MAA,1,2,21,340,0
6E,DEL,COK,12,1,17,1280,0
B6,SEA,LAX,6,6,6,954,0
QP,CCU,BOM,3,6,8,1030,0
AA,BOS,JFK,12,4,20,187,0
IX,AMD,HYD,5,3,22,1273,0
NK,LAS,JFK,11,2,10,601,1
QP,DEL,CCU,9,3,8,810,1
IX,BLR,BOM,3,1,22,520,1
AS,PHX,LAS,1,1,15,256,1
AI,COK,BOM,7,2,21,670,1
NK,DFW,SFO,11,4,16,1230,0
AI,MAA,DEL,5,3,16,1090,1
F9,SFO,ORD,3,4,10,381,0
SG,AMD,BLR,9,6,8,1043,1
IX,CCU,MAA,7,0,14,850,1
AA,SFO,JFK,12,2,22,233,1
QP,PNQ,CCU,8,6,5,736,0
QP,DEL,GOI,9,4,18,940,1
NK,DFW,PHX,8,2,11,693,0
AS,SEA,LAX,6,4,19,954,1
WN,SFO,JFK,8,5,11,313,1
AA,MIA,DFW,9,1,15,288,0
6E,HYD,BOM,4,3,8,390,0
F9,BOS,DFW,5,5,13,1152,1
AI,HYD,BOM,7,5,17,390,1
6E,AMD,CCU,2,5,8,710,0
UK,BOM,HYD,3,3,11,390,1
WN,DEN,ORD,4,2,7,888,1
IX,COK,HYD,7,5,6,1312,1
AA,BOS,SEA,6,4,12,1262,0
UA,BOS,JFK,9,0,15,187,1
UK,MAA,CCU,7,4,20,850,1
6E,AMD,DEL,10,6,17,470,0
IX,BOM,MAA,4,5,15,640,0
IX,PNQ,CCU,3,1,9,393,1
NK,LAX,ATL,1,4,17,1946,1
DL,PHX,DEN,11,5,7,524,0
QP,BLR,GOI,12,3,9,310,1
QP,BLR,AMD,8,5,15,622,0
QP,DEL,CCU,5,6,20,810,1
AA,MIA,BOS,2,0,12,1258,0
6E,COK,BOM,7,2,12,670,0
WN,LAS,MIA,12,1,12,965,0
UK,AMD,GOI,10,6,6,667,1
UK,MAA,HYD,4,1,19,320,0
AS,SEA,DFW,2,1,9,318,0
IX,BLR,MAA,8,2,9,180,1
AA,BOS,LAX,3,2,21,917,0
IX,MAA,DEL,11,3,10,1090,0
B6,ORD,LAS,2,6,6,1060,1
DL,JFK,LAS,1,5,7,1086,1
IX,BLR,HYD,9,3,14,310,1
B6,PHX,LAS,3,5,18,256,0
NK,DFW,LAX,6,6,5,1235,0
AS,LAS,LAX,8,4,13,238,1
IX,GOI,CCU,4,3,19,900,0
WN,DEN,MIA,10,1,11,444,0
B6,ATL,PHX,3,6,17,550,1
SG,MAA,HYD,11,5,5,320,1
NK,ATL,LAX,7,1,14,1946,0
NK,DEN,DFW,7,2,19,641,1
UK,DEL,HYD,6,4,6,780,1
AS,JFK,ORD,6,0,16,740,1
NK,ATL,MIA,12,4,7,595,0
DL,SEA,LAS,4,5,8,513,1
6E,DEL,HYD,12,0,6,780,1
AS,SFO,ORD,1,4,12,1252,0
F9,LAX,SEA,9,2,8,954,1
WN,DEN,MIA,2,5,9,1149,1
NK,SEA,PHX,1,6,18,1107,1
UK,PNQ,COK,2,2,22,861,1
UA,SFO,JFK,2,4,21,318,1
B6,LAS,SEA,10,3,5,661,1
6E,HYD,GOI,10,1,20,1187,0
F9,SFO,JFK,1,4,17,1309,1
AS,SFO,LAS,2,0,12,414,1
B6,DEN,JFK,6,6,22,791,1
UK,BOM,DEL,1,4,12,710,0
AS,ATL,DFW,12,1,6,1326,1
DL,DEN,LAX,4,2,10,862,1
NK,SFO,PHX,10,3,20,599,1
IX,HYD,BLR,4,4,15,310,0
AA,JFK,LAX,9,6,12,2475,1
F9,BOS,SEA,4,6,12,451,0
F9,SFO,BOS,4,0,10,946,1
B6,SEA,SFO,5,4,18,679,1
SG,MAA,BOM,7,5,22,640,1
WN,SFO,PHX,1,6,10,290,0
6E,DEL,PNQ,1,6,15,730,1
AA,ORD,SFO,3,3,17,703,1
AS,ORD,BOS,7,1,15,867,0
IX,GOI,BLR,8,0,18,310,1
NK,SFO,JFK,12,3,18,599,1
AI,HYD,MAA,5,0,10,320,0
WN,SFO,BOS,10,1,17,207,1
AA,DFW,SEA,1,6,9,868,1
UK,BOM,GOI,12,3,8,265,0
6E,GOI,CCU,7,0,20,1103,0
DL,PHX,DFW,10,0,6,1212,1
WN,LAX,SEA,7,1,16,954,1
AS,DFW,PHX,6,5,14,830,0
UA,ATL,LAX,3,2,8,1946,1
B6,ORD,MIA,12,6,16,622,1
SG,CCU,MAA,2,1,6,850,0
QP,MAA,DEL,9,6,11,1090,1
QP,BOM,PNQ,7,2,5,90,1
NK,ATL,JFK,12,1,16,760,1
AS,DEN,JFK,4,1,8,1009,1
UK,BLR,BOM,9,2,14,520,1
SG,COK,PNQ,5,2,16,1099,1
AI,MAA,HYD,5,5,19,320,1
DL,ORD,SFO,8,3,18,581,1
AI,AMD,GOI,4,0,22,901,0
QP,AMD,CCU,4,6,22,1376,1
IX,CCU,MAA,10,2,6,850,1
IX,DEL,GOI,4,0,13,940,0
AI,BLR,BOM,9,6,22,520,1
6E,COK,MAA,12,5,14,340,0
IX,MAA,AMD,2,3,7,499,0
6E,MAA,COK,3,1,17,340,1
6E,CCU,BLR,9,3,8,970,1
SG,MAA,HYD,4,5,13,320,1
WN,SFO,ATL,3,0,21,686,1
UK,MAA,BOM,3,4,18,640,1
F9,PHX,DFW,2,4,12,1041,0
SG,BOM,COK,10,3,19,670,1
6E,DEL,COK,4,1,5,1280,1
UK,GOI,BLR,5,1,9,310,1
6E,HYD,GOI,4,2,6,905,1
AA,LAS,SFO,12,0,14,414,1
AI,PNQ,DEL,9,5,13,730,1
F9,SEA,BOS,4,0,21,766,0
AA,ORD,ATL,8,0,5,606,1
NK,SFO,LAS,5,0,18,414,1
6E,MAA,CCU,4,6,12,850,1
DL,DFW,PHX,12,2,18,559,1
UK,BLR,HYD,1,1,18,310,1
UK,MAA,GOI,4,4,22,159,0
NK,ORD,LAS,7,3,8,433,1
QP,BOM,COK,2,2,15,670,0
UK,CCU,BOM,1,0,14,1030,1
B6,ORD,LAX,12,1,21,1744,1
AI,CCU,HYD,6,3,13,740,1
DL,JFK,MIA,11,1,13,1090,0
IX,BOM,CCU,8,6,11,1030,1
6E,MAA,PNQ,3,3,21,1223,0
6E,DEL,CCU,8,0,11,810,1
QP,GOI,COK,5,6,13,320,1
IX,COK,MAA,11,0,13,340,1
UK,BOM,COK,4,2,16,670,1
QP,MAA,COK,1,2,10,340,0
B6,ORD,PHX,10,2,6,1038,0
WN,JFK,MIA,2,3,15,1090,1
AA,JFK,ATL,11,6,15,760,1
AS,SFO,PHX,11,0,5,273,1
B6,SEA,MIA,6,0,8,1271,1
UK,DEL,PNQ,11,4,18,730,1
6E,GOI,BOM,8,4,8,265,1
6E,DEL,AMD,1,6,5,470,1
UA,DFW,MIA,3,3,20,695,1
B6,LAX,DEN,8,6,16,862,1
IX,DEL,BOM,5,1,10,710,1
NK,JFK,SEA,11,0,22,233,1
6E,BLR,HYD,4,1,7,310,0
6E,CCU,AMD,5,2,19,533,1
DL,DFW,PHX,5,3,15,966,1
AI,MAA,AMD,4,0,18,151,0
AA,ORD,ATL,1,6,6,606,1
UK,AMD,MAA,4,5,20,761,1
WN,ORD,SFO,12,0,10,747,0
F9,BOS,SEA,10,2,6,608,1
UK,PNQ,BLR,10,1,20,460,1
UA,DFW,SEA,2,3,17,1358,1
IX,DEL,CCU,1,2,18,810,0
UK,BOM,PNQ,11,4,11,90,1
QP,CCU,BLR,12,6,9,970,1
UK,MAA,PNQ,3,5,17,1091,0
DL,DFW,SFO,9,2,20,562,0
F9,JFK,PHX,3,3,21,758,1
IX,BOM,MAA,11,6,18,640,1
AA,ORD,BOS,11,6,18,867,1
NK,SFO,DEN,1,5,21,1047,1
IX,PNQ,BOM,1,4,8,90,1
AS,LAS,LAX,2,0,8,1013,1
B6,LAS,ATL,5,5,15,1096,0
B6,SEA,DFW,10,5,16,1333,1
SG,DEL,BLR,7,6,20,1080,1
UK,BOM,CCU,1,5,21,1030,1
NK,DEN,LAX,6,5,20,862,1
UA,DEN,LAX,10,1,11,862,1
DL,LAX,SFO,3,6,6,337,1
NK,LAX,PHX,10,5,15,288,0
DL,DFW,LAX,12,6,21,1235,1
F9,SEA,DFW,10,4,13,397,0
AA,JFK,BOS,4,5,5,187,0
AA,JFK,BOS,11,3,17,187,1
UK,BLR,PNQ,11,2,7,460,1
F9,LAX,DFW,5,3,19,1235,1
UA,LAX,ORD,11,0,21,1744,0
B6,SFO,SEA,7,4,14,679,0
AA,BOS,ORD,5,2,5,867,0
AA,SFO,LAX,10,1,7,337,1
B6,LAX,DFW,4,6,10,1235,1
AI,CCU,AMD,4,1,14,1015,1
6E,GOI,MAA,10,4,16,997,0
AS,DEN,SFO,6,0,18,274,1
WN,ATL,SEA,8,5,13,1183,0
UA,SEA,BOS,12,0,7,1307,1
UA,MIA,ATL,5,0,15,595,1
UK,MAA,BOM,5,5,18,640,0
NK,BOS,ORD,9,6,13,867,1
AA,LAS,SFO,5,5,17,414,1
WN,ORD,ATL,6,4,19,606,1
6E,BLR,GOI,10,3,13,310,0
AI,BLR,MAA,5,6,15,180,0
NK,LAS,PHX,3,4,21,256,1
QP,HYD,CCU,1,2,17,740,1
6E,AMD,GOI,8,4,14,381,1
UK,GOI,BLR,3,4,17,310,0
UA,DEN,BOS,10,6,11,1061,0
DL,BOS,ATL,3,2,9,1167,0
IX,BLR,GOI,5,3,14,310,1
AA,SEA,LAX,5,3,9,954,1
WN,SEA,BOS,9,4,12,734,0
6E,MAA,HYD,4,4,9,320,1
B6,MIA,SEA,5,4,19,878,1
NK,SEA,DEN,9,2,9,1024,0
UK,MAA,BOM,5,2,6,640,0
F9,ORD,LAS,10,3,5,1329,0
WN,SFO,SEA,5,5,19,679,0
SG,HYD,GOI,5,1,15,953,0
6E,GOI,BLR,1,6,22,310,1
DL,ATL,LAX,7,3,14,1946,0
QP,MAA,HYD,4,5,20,320,1
QP,MAA,GOI,1,4,10,397,1
SG,CCU,MAA,3,0,14,850,0
F9,ORD,DEN,7,1,8,888,1
NK,ORD,DFW,3,5,13,1387,1
AA,PHX,JFK,1,3,20,657,0
NK,JFK,MIA,7,3,16,1090,0
SG,DEL,BLR,8,6,14,1080,1
WN,LAS,MIA,2,2,19,423,1
F9,SFO,LAX,8,3,14,337,1
UK,AMD,BOM,2,4,8,275,1
UA,DFW,MIA,7,4,21,717,0
UK,AMD,MAA,12,5,20,252,0
SG,MAA,PNQ,10,2,22,162,1
WN,ORD,SFO,3,4,10,864,1
QP,COK,DEL,11,1,17,1280,1
UK,COK,CCU,10,4,9,693,0
QP,COK,PNQ,11,6,22,1375,0
6E,BOM,GOI,7,5,7,265,1
6E,BOM,GOI,9,2,16,265,1
SG,PNQ,HYD,3,5,11,691,0
QP,BOM,HYD,11,1,15,390,0
AI,HYD,CCU,6,2,19,740,1
UA,PHX,JFK,12,3,8,1084,1
QP,BLR,MAA,7,0,12,180,1
UK,COK,CCU,12,1,5,1087,1
SG,HYD,BLR,2,6,8,310,1
6E,CCU,MAA,2,1,8,850,0
AI,CCU,MAA,3,2,5,850,0
QP,COK,BOM,11,6,15,670,1
B6,ORD,MIA,12,2,8,1235,1
SG,COK,HYD,2,2,22,752,0
WN,ATL,SFO,12,2,15,915,1
AS,MIA,ORD,6,2,7,1177,0
6E,BLR,AMD,12,3,5,1242,0
AI,CCU,BOM,9,2,15,1030,1
B6,LAS,SFO,11,3,17,414,0
IX,PNQ,HYD,2,6,9,970,0
AI,BOM,GOI,3,4,10,265,1
SG,AMD,DEL,8,6,21,470,1
AI,MAA,COK,7,1,11,340,1
6E,BLR,PNQ,2,5,16,460,1
F9,ORD,DEN,7,2,10,888,1
F9,DEN,DFW,3,4,9,641,0
DL,BOS,LAX,8,4,17,422,0
AS,BOS,DEN,2,5,15,390,1
AI,GOI,CCU,2,1,15,905,0
QP,GOI,CCU,7,0,13,1180,1
AS,MIA,ORD,10,4,15,734,0
6E,HYD,AMD,8,3,6,564,0
AI,GOI,BLR,10,3,17,310,1
NK,DFW,PHX,7,2,12,443,1
B6,JFK,ORD,3,2,12,740,1
DL,ATL,SEA,5,3,19,622,1
AI,COK,BOM,9,5,16,670,1
SG,GOI,CCU,3,6,17,1105,1
DL,DFW,PHX,4,4,17,1298,1
WN,ORD,BOS,1,5,15,867,1
B6,DFW,ORD,3,3,9,438,1
SG,GOI,BOM,5,0,13,265,1
AI,DEL,PNQ,4,0,14,730,0
F9,PHX,ORD,11,4,11,158,0
SG,COK,BLR,2,1,16,230,0
B6,LAS,DEN,6,3,18,833,0
DL,PHX,DFW,5,6,7,731,1
6E,PNQ,HYD,2,1,21,1341,1
AS,MIA,DEN,1,4,15,564,0
AI,BLR,GOI,9,1,11,310,0
QP,PNQ,MAA,2,5,17,1163,1
6E,GOI,HYD,4,5,13,228,1
DL,DFW,ORD,9,5,21,305,0
UK,DEL,PNQ,9,3,18,730,0
AI,DEL,PNQ,1,2,15,730,0
6E,GOI,BLR,8,0,18,310,1
UA,LAX,DFW,2,4,10,1235,1
UK,HYD,MAA,1,5,6,320,0
QP,GOI,BOM,12,0,5,265,1
AS,ORD,DFW,3,3,6,1152,0
B6,ORD,MIA,12,3,17,576,0
AI,DEL,PNQ,7,4,21,730,1
QP,DEL,BOM,12,0,21,710,0
QP,BLR,CCU,3,4,5,970,1
DL,BOS,SEA,4,3,15,267,1
B6,MIA,DEN,10,6,18,961,0
AI,BLR,DEL,3,0,22,1080,1
AA,PHX,BOS,8,4,7,1215,1
QP,BLR,AMD,4,5,9,823,0
NK,DFW,ORD,10,6,17,732,1
6E,MAA,BOM,2,0,14,640,1
AI,BOM,MAA,3,1,9,640,1
UA,PHX,SFO,12,5,10,315,0
AI,BLR,GOI,11,2,13,310,0
WN,LAS,DFW,9,0,9,1155,1
6E,BOM,CCU,1,0,7,1030,1
QP,HYD,AMD,3,3,8,1373,0
QP,COK,GOI,8,1,16,1012,1
AS,JFK,ORD,7,0,10,740,1
WN,LAS,ATL,2,0,7,388,1
DL,ATL,LAX,2,3,13,1946,0
UA,JFK,SFO,6,0,22,612,1
QP,DEL,BOM,12,3,10,710,1
AA,LAX,SEA,12,0,8,954,1
AI,BOM,COK,12,3,14,670,0
UK,DEL,BOM,11,0,6,710,1
AI,GOI,MAA,9,0,19,837,0
SG,DEL,GOI,7,4,9,940,0
QP,COK,DEL,6,2,8,1280,1
UA,MIA,DEN,7,1,11,1077,1
QP,CCU,PNQ,9,5,19,321,0
SG,GOI,DEL,2,6,5,940,1
6E,HYD,CCU,12,3,15,740,0
QP,HYD,BOM,8,6,15,390,1
SG,PNQ,HYD,5,0,11,701,0
IX,DEL,AMD,5,3,18,470,1
WN,LAS,JFK,12,0,10,323,0
NK,JFK,DFW,9,6,14,1391,0
AI,GOI,BLR,5,4,9,310,1
F9,BOS,LAS,1,5,6,245,1
QP,GOI,MAA,7,3,21,212,0
F9,LAX,DEN,7,5,6,862,1
SG,CCU,MAA,6,2,16,850,1
DL,ATL,SEA,11,1,20,774,0
UK,BOM,HYD,7,4,6,390,1
WN,BOS,MIA,3,3,21,1258,1
IX,BOM,CCU,4,3,10,1030,1
UA,BOS,DFW,1,0,20,605,1
AI,PNQ,COK,4,2,21,1177,0
AS,LAS,ATL,2,6,16,1127,0
AA,ATL,LAS,4,3,13,1136,1
QP,PNQ,DEL,1,4,12,730,1
UA,MIA,JFK,6,5,14,1090,1
AS,LAX,BOS,6,6,8,1315,1
UK,PNQ,DEL,11,3,14,730,0
AS,DEN,MIA,3,4,13,517,1
B6,SEA,JFK,2,4,19,438,1
QP,HYD,GOI,5,6,15,631,0
AA,ATL,SFO,6,3,19,914,1
AS,MIA,SFO,12,1,22,707,0
F9,DFW,BOS,7,5,18,809,0
SG,CCU,HYD,7,6,12,740,1
UK,COK,AMD,6,0,22,170,1
SG,PNQ,BLR,8,1,17,460,1
SG,HYD,GOI,7,3,20,708,1
6E,HYD,MAA,12,1,7,320,0
AS,DEN,SFO,2,3,10,515,0
SG,GOI,CCU,6,3,14,1038,1
F9,DFW,DEN,4,5,19,641,1
NK,DEN,DFW,10,6,7,641,1
6E,CCU,BLR,2,5,12,970,0
6E,DEL,AMD,10,4,12,470,0
F9,LAS,MIA,2,3,18,1124,1
AA,DEN,DFW,6,0,9,641,0
AA,PHX,MIA,12,1,12,1001,1
UA,DFW,PHX,12,5,5,775,1
AI,COK,BLR,8,2,10,230,0
F9,SFO,LAS,6,2,11,414,1
DL,SEA,JFK,4,5,13,334,0
NK,PHX,MIA,9,6,16,328,1
DL,JFK,SEA,5,3,15,530,0
AI,BLR,GOI,7,4,9,310,1
AS,JFK,ORD,9,5,10,740,0
UK,HYD,GOI,4,6,8,1288,1
6E,AMD,DEL,2,6,12,470,0
6E,BOM,COK,6,6,9,670,1
QP,BLR,HYD,2,6,11,310,0
IX,AMD,CCU,1,2,21,1138,0
IX,BLR,CCU,11,0,6,970,1
QP,MAA,PNQ,3,5,6,893,0
UA,DEN,LAX,1,1,15,862,1
DL,LAS,MIA,4,2,15,209,1
QP,DEL,AMD,6,4,22,470,1
QP,HYD,CCU,9,5,12,740,0
DL,MIA,LAS,7,5,20,1215,0
WN,MIA,BOS,8,3,7,1258,1
AS,ORD,JFK,10,5,19,740,0
SG,PNQ,BOM,7,6,8,90,1
F9,BOS,DFW,12,1,9,743,1
QP,BLR,CCU,3,0,20,970,1
AI,BLR,PNQ,11,6,18,460,1
6E,PNQ,CCU,6,1,18,938,1
UK,COK,BLR,12,1,7,230,0
UK,HYD,DEL,10,0,12,780,0
